1.000,	2.000,	26986.500,	28217.400
2.000,	1.000,	39436.602,	40417.500
1.000,	1.000,	56504.199,	57633.000
1.000,	2.000,	0.000,	0.000
1.000,	2.000,	0.000,	0.000
2.000,	1.000,	223854.906,	224208.906
1.000,	1.000,	234827.094,	234872.906
2.000,	1.000,	242935.703,	243400.297
1.000,	1.000,	291422.187,	292854.812
1.000,	1.000,	0.000,	0.000
1.000,	1.000,	325835.594,	327295.812
2.000,	2.000,	330849.000,	333776.500
1.000,	2.000,	346442.906,	347863.312
1.000,	2.000
0.000,	11.000,	36181.000,	46595.699,	1.000
0.000,	12.000,	48054.398,	51497.602,	1.000
0.000,	12.000,	0.000,	0.000,	1.000
0.000,	12.000,	56339.102,	57802.699,	1.000
1.000,	11.000,	61023.699,	62411.102,	1.000
1.000,	12.000,	65707.898,	67088.797,	1.000
2.000,	11.000,	70421.398,	71927.500,	1.000
2.000,	12.000,	75163.102,	76616.898,	1.000
3.000,	11.000,	79828.797,	81223.500,	1.000
3.000,	12.000,	85949.203,	86075.703,	1.000
0.000,	11.000,	0.000
0.000,	12.000,	0.000
1.000,	11.000,	0.000
1.000,	11.000,	0.000
1.000,	11.000,	0.000
1.000,	12.000,	0.000
0.000,	11.000,	165422.297,	174058.000,	1.000
0.000,	12.000,	174072.406,	179033.500,	1.000
0.000,	12.000,	0.000,	0.000,	1.000
0.000,	12.000,	0.000,	0.000,	1.000
1.000,	11.000,	188491.203,	189916.406,	1.000
1.000,	12.000,	193203.906,	194739.094,	1.000
0.000,	11.000,	220495.703,	233841.406,	1.000
0.000,	12.000,	233864.000,	238646.797,	1.000
1.000,	11.000,	240117.906,	245865.500,	1.000
1.000,	12.000,	249333.797,	250740.906,	1.000
2.000,	11.000,	256761.797,	257932.500,	1.000
2.000,	12.000,	257945.797,	262812.687,	1.000
3.000,	11.000,	264271.000,	269978.000,	1.000
3.000,	12.000,	271353.187,	274820.906,	1.000
4.000,	11.000,	276473.187,	281976.687,	1.000
4.000,	12.000,	283523.812,	286868.594,	1.000
5.000,	11.000,	288448.312,	294017.812,	1.000
5.000,	12.000,	297854.000,	298910.906,	1.000
6.000,	11.000,	300499.906,	306017.187,	1.000
6.000,	12.000,	307581.594,	310994.594,	1.000
7.000,	11.000,	316626.312,	318068.312,	1.000
7.000,	12.000,	319569.406,	322962.187,	1.000
8.000,	11.000,	324508.906,	330053.594,	1.000
8.000,	12.000,	331681.187,	334986.312,	1.000
9.000,	11.000,	340626.406,	342086.500,	1.000
9.000,	12.000,	343612.094,	346974.687,	1.000
10.000,	11.000,	348545.312,	354106.094,	1.000
10.000,	12.000,	357613.906,	359008.500,	1.000
11.000,	11.000,	360543.594,	366078.594,	1.000
11.000,	12.000,	367618.500,	370994.000,	1.000
12.000,	11.000,	376586.406,	378085.812,	1.000
0.000,	11.000,	386435.812,	412011.500,	1.000
0.000,	12.000,	415350.687,	416801.687,	1.000
1.000,	11.000,	418328.500,	424024.812,	1.000
1.000,	12.000,	425556.500,	428961.594,	1.000
2.000,	11.000,	430469.312,	436105.000,	1.000
2.000,	12.000,	437653.000,	440898.094,	1.000
3.000,	11.000,	442513.187,	448068.187,	1.000
3.000,	12.000,	449630.812,	453007.906,	1.000
4.000,	11.000,	454592.906,	460017.500,	1.000
4.000,	12.000,	461660.687,	465011.687,	1.000
5.000,	11.000,	466620.094,	471986.000,	1.000
5.000,	12.000,	475572.312,	477082.094,	1.000
6.000,	11.000,	478623.687,	483970.594,	1.000
6.000,	12.000,	485730.687,	489040.500,	1.000
7.000,	11.000,	490628.594,	495810.000,	1.000
7.000,	12.000,	500097.500,	501141.906,	1.000
8.000,	11.000,	502712.906,	508148.500,	1.000
8.000,	12.000,	511813.594,	513127.500,	1.000
9.000,	11.000,	514666.812,	519949.187,	1.000
9.000,	12.000,	523681.406,	525099.687,	1.000
10.000,	11.000,	526716.125,	532310.000,	1.000
10.000,	12.000,	533770.687,	537141.312,	1.000
11.000,	11.000,	538728.312,	544174.187,	1.000
11.000,	12.000,	545838.687,	549214.125,	1.000
12.000,	11.000,	550786.312,	556030.812,	1.000
12.000,	12.000,	557886.187,	561284.125,	1.000
13.000,	11.000,	562762.875,	568061.312,	1.000
13.000,	12.000,	569939.500,	573171.625,	1.000
14.000,	11.000,	574810.312,	580276.000,	1.000
14.000,	12.000,	581937.812,	585209.625,	1.000
15.000,	11.000,	586856.375,	592504.312,	1.000
15.000,	12.000,	593979.312,	597368.500,	1.000
16.000,	11.000,	598903.812,	604408.125,	1.000
16.000,	12.000,	606028.500,	609362.687,	1.000
17.000,	11.000,	610976.375,	616485.687,	1.000
17.000,	12.000,	618187.500,	621397.000,	1.000
18.000,	11.000,	623028.875,	628586.375,	1.000
18.000,	12.000,	630103.125,	633402.187,	1.000
19.000,	11.000,	635043.187,	640535.500,	1.000
19.000,	12.000,	642128.500,	645470.125,	1.000
20.000,	11.000,	647126.812,	652513.187,	1.000
20.000,	12.000,	654097.687,	657508.812,	1.000
21.000,	11.000,	659026.125,	664605.812,	1.000
21.000,	12.000,	666136.625,	669487.875,	1.000
22.000,	11.000,	675131.312,	676610.812,	1.000
22.000,	12.000,	678142.625,	681537.187,	1.000
23.000,	11.000,	683162.687,	688632.500,	1.000
23.000,	12.000,	690242.375,	693559.000,	1.000
24.000,	11.000,	699184.500,	700628.312,	1.000
24.000,	12.000,	702241.812,	705598.812,	1.000
25.000,	11.000,	707204.187,	712723.812,	1.000
25.000,	12.000,	714268.312,	717609.375,	1.000
26.000,	11.000,	719483.000,	724746.187,	1.000
26.000,	12.000,	726384.875,	729622.625,	1.000
27.000,	11.000,	731232.000,	736785.687,	1.000
27.000,	12.000,	738321.500,	741712.125,	1.000
28.000,	11.000,	743257.875,	748769.312,	1.000
28.000,	12.000,	750355.187,	753765.500,	1.000
29.000,	11.000,	755317.625,	760769.625,	1.000
29.000,	12.000,	762349.000,	765688.812,	1.000
30.000,	11.000,	767304.375,	772795.812,	1.000
30.000,	12.000,	776246.500,	777752.312,	1.000
31.000,	11.000,	783370.625,	784825.187,	1.000
31.000,	12.000,	786390.312,	789796.875,	1.000
32.000,	11.000,	791355.312,	796837.687,	1.000
32.000,	12.000,	798398.312,	801737.125,	1.000
33.000,	11.000,	803325.625,	808836.000,	1.000
33.000,	12.000,	812300.375,	813755.687,	1.000
34.000,	11.000,	819758.312,	820904.375,	1.000
34.000,	12.000,	822439.187,	825813.625,	1.000
35.000,	11.000,	831519.687,	832888.312,	1.000
35.000,	12.000,	834440.312,	837783.125,	1.000
36.000,	11.000,	839364.375,	844836.875,	1.000
36.000,	12.000,	846767.125,	849676.875,	1.000
37.000,	11.000,	851460.375,	856961.187,	1.000
37.000,	12.000,	858511.000,	861772.000,	1.000
38.000,	11.000,	867507.625,	868771.312,	1.000
38.000,	12.000,	870523.875,	873813.875,	1.000
39.000,	11.000,	875501.187,	880961.500,	1.000
39.000,	12.000,	882532.000,	885888.812,	1.000
40.000,	11.000,	887458.312,	892912.687,	1.000
40.000,	12.000,	894518.500,	897898.000,	1.000
41.000,	11.000,	903978.125,	904964.187,	1.000
41.000,	12.000,	906601.687,	909630.687,	1.000
42.000,	11.000,	911515.812,	917025.375,	1.000
42.000,	12.000,	920733.687,	921549.187,	1.000
43.000,	11.000,	923554.687,	929063.500,	1.000
43.000,	12.000,	930612.000,	933672.125,	1.000
44.000,	11.000,	935582.187,	941055.187,	1.000
44.000,	12.000,	942698.187,	945723.187,	1.000
