#,Dominant Patterns,Complying Row Indicies,Size
1,"<TXT><DEL><UL><DEL><TXT><DEL><SEQD><DEL><SEQD><DEL><SEQD><DEL><SEQD><DEL><SEQD><DEL>0<DEL><SEQD>
","7, 8, 9, 10, 11, 12, 13, 14, 26, 27, 28, 29, 30, 31, 32, 43, 44, 45, 46, 47, 48, 49, 50, 51, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 82, 83, 84, 85, 86, 87, 88, 89, 99, 100, 101, 102, 103, 104, 105, 114, 115, 116, 117, 118, 119, 120, 129, 130, 131, 132, 133, 134, 135, 136, 147, 148, 149, 150, 151, 152, 153, 154, 155, 164, 165, 166, 167, 168, 169, 170, 180, 181, 182, 183, 184, 185, 186, 188, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208",98
2,"<EV><DEL><EV><DEL><EV><DEL><EV><DEL><EV><DEL><EV><DEL><EV><DEL><EV><DEL><EV><DEL><EV>
","2, 17, 19, 35, 37, 55, 57, 74, 76, 92, 94, 108, 110, 123, 125, 140, 142, 158, 160, 172, 174, 192, 194",23
3,"Temporary Calf Passport (PPAF)<DEL><UL><DEL><TXT><DEL><SEQD><DEL><D><DEL><SEQD><DEL>0<DEL><SEQD><DEL>0<DEL><SEQD>
","15, 33, 52, 53, 71, 72, 90, 106, 121, 137, 138, 156, 189, 190, 209, 210, 211",17
4,"<TXT><DEL>Sex<DEL><UL><SEQLL> <UL><SEQLL><DEL><TXT><DEL><EV><DEL><EV><DEL><EV><DEL><EV><DEL><EV><DEL>Totals
","3, 20, 38, 58, 77, 95, 111, 126, 143, 161, 175, 195",12
5,"<EV><DEL><EV><DEL><EV><DEL><TXT><DEL><EV><DEL>Scotland<DEL><EV><DEL>Wales<DEL><EV><DEL><EV>
","4, 21, 39, 59, 78, 96, 112, 127, 144, 162, 176, 196",12
6,"<EV><DEL><EV><DEL><EV><DEL><TXT><DEL>Slaughterhouse<DEL>Agricultural Holding<DEL>Slaughterhouse<DEL>Agricultural Holding<DEL>Slaughterhouse<DEL><EV>
","5, 22, 40, 60, 79, 97, 113, 128, 145, 163, 177, 197",12
7,"3rd Country Import<DEL><UL><DEL><TXT><DEL><SEQD><DEL><D><DEL><SEQD><DEL>0<DEL><SEQD><DEL>0<DEL><SEQD>
","6, 23, 24, 41, 80, 81, 98, 146, 178, 179, 198",11
8,"<UL><LL><LL>-09<DEL><EV><DEL><EV><DEL><EV><DEL><EV><DEL><EV><DEL><EV><DEL><EV><DEL><EV><DEL><EV>
","1, 18, 36, 56, 75, 93, 109, 124, 141, 193",10
9,"<TXT><DEL><EV><DEL><EV><DEL><SEQD><DEL><SEQD><DEL><SEQD><DEL><SEQD><DEL><SEQD><DEL>0<DEL>""<D>,<D><D><D>""
","16, 34, 54, 73, 91, 191, 212",7
10,"<TXT><DEL><EV><DEL><EV><DEL><SEQD><DEL><SEQD><DEL><SEQD><DEL><D><DEL><SEQD><DEL>0<DEL><SEQD>
","107, 122, 139, 157, 171",5
